Учетный день,Количество гостей,"Сумма без скидки, р.","Средняя выручка с гостя, р."
17.03.2022,335,1395.09,4.12
18.03.2022,316,1419.12,4.46
19.03.2022,224,1069.08,4.75
21.03.2022,354,1479.14,4.15
22.03.2022,347,1500.20,4.29
23.03.2022,330,1415.10,4.24
24.03.2022,319,1317.20,4.08
25.03.2022,305,1215.16,3.94
26.03.2022,208,997.08,4.77
28.03.2022,297,1267.20,4.25
29.03.2022,314,1371.15,4.32
30.03.2022,315,1369.20,4.30
31.03.2022,294,1216.10,4.09
01.04.2022,299,1289.20,4.27
02.04.2022,218,953.11,4.33
04.04.2022,316,1327.15,4.18
05.04.2022,271,1123.17,4.11
06.04.2022,323,1293.15,3.96
07.04.2022,329,1436.20,4.33
08.04.2022,307,1279.11,4.13
09.04.2022,207,972.09,4.67
11.04.2022,350,1436.15,4.08
12.04.2022,338,1401.11,4.11
13.04.2022,312,1290.22,4.10
14.04.2022,354,1521.17,4.25
15.04.2022,287,1291.13,4.50
16.04.2022,208,974.11,4.66
18.04.2022,349,1578.11,4.44
19.04.2022,279,1238.15,4.34
20.04.2022,294,1329.16,4.46
21.04.2022,340,1537.14,4.46
22.04.2022,275,1197.18,4.26
23.04.2022,161,723.03,4.40
25.04.2022,307,1200.20,3.89
26.04.2022,333,1351.13,4.01
27.04.2022,353,1538.10,4.31
28.04.2022,342,1602.14,4.64
29.04.2022,288,1331.08,4.57
30.04.2022,128,605.06,4.66
02.05.2022,123,509.11,4.10
04.05.2022,352,1459.19,4.10
05.05.2022,347,1506.19,4.30
06.05.2022,305,1246.16,4.07
07.05.2022,195,844.11,4.29
10.05.2022,350,1430.17,4.07
11.05.2022,366,1584.08,4.31
12.05.2022,334,1488.11,4.43
13.05.2022,347,1513.17,4.32
14.05.2022,233,1209.62,5.15
16.05.2022,363,1739.17,4.74
17.05.2022,301,1545.68,5.05
18.05.2022,329,1415.69,4.22
19.05.2022,348,1717.63,4.82
20.05.2022,311,1507.65,4.78
21.05.2022,186,1028.05,5.48
23.05.2022,320,1455.17,4.50
24.05.2022,337,1649.10,4.85
25.05.2022,323,1555.62,4.77
26.05.2022,334,1649.70,4.88
27.05.2022,300,1490.64,4.93
28.05.2022,200,1065.58,5.24
30.05.2022,265,1305.17,4.87
31.05.2022,341,1541.76,4.48
01.06.2022,292,1484.13,5.04
02.06.2022,308,1506.68,4.83
03.06.2022,277,1366.67,4.90
04.06.2022,138,714.05,5.13
06.06.2022,262,1307.11,4.96
07.06.2022,278,1305.64,4.63
08.06.2022,255,1230.06,4.77
09.06.2022,273,1350.65,4.92
10.06.2022,263,1331.09,5.05
11.06.2022,175,812.60,4.60
13.06.2022,290,1331.13,4.50
14.06.2022,248,1195.58,4.77
15.06.2022,281,1359.15,4.75
16.06.2022,263,1311.06,4.92
17.06.2022,271,1329.06,4.86
18.06.2022,182,937.56,5.07
20.06.2022,244,1160.58,4.74
21.06.2022,300,1413.66,4.67
22.06.2022,282,1343.63,4.71
23.06.2022,273,1329.59,4.82
24.06.2022,281,1298.66,4.54
25.06.2022,152,743.09,4.85
27.06.2022,237,1073.67,4.47
28.06.2022,259,1220.57,4.68
29.06.2022,232,1117.60,4.76
30.06.2022,235,1179.07,5.00
01.07.2022,219,1139.56,5.14
02.07.2022,145,663.08,4.54
04.07.2022,195,904.14,4.60
05.07.2022,261,1237.59,4.71
06.07.2022,165,776.05,4.63
07.07.2022,209,992.56,4.70
08.07.2022,180,834.05,4.56
09.07.2022,135,767.05,5.61
11.07.2022,219,999.11,4.52
12.07.2022,178,830.09,4.61
13.07.2022,215,1028.16,4.74
14.07.2022,234,1199.50,5.10
15.07.2022,197,1030.00,5.19
16.07.2022,141,717.50,5.08
18.07.2022,210,1070.50,5.08
19.07.2022,203,1021.50,4.98
20.07.2022,215,1137.50,5.25
21.07.2022,181,916.00,5.02
22.07.2022,202,993.50,4.87
23.07.2022,132,648.50,4.89
25.07.2022,224,1131.00,5.01
26.07.2022,193,960.00,4.96
27.07.2022,201,994.50,4.93
28.07.2022,211,955.00,4.49
29.07.2022,196,986.00,4.99
30.07.2022,116,531.50,4.54
01.08.2022,214,991.50,4.61
02.08.2022,214,1104.50,5.15
03.08.2022,198,966.00,4.83
04.08.2022,193,945.50,4.87
05.08.2022,198,982.50,4.93
06.08.2022,104,549.00,5.22
08.08.2022,171,779.00,4.49
09.08.2022,179,928.50,5.17
10.08.2022,170,799.50,4.69
11.08.2022,186,1010.00,5.39
12.08.2022,177,864.50,4.86
13.08.2022,91,464.50,5.04
15.08.2022,177,840.00,4.73
16.08.2022,209,1044.50,4.96
17.08.2022,187,939.00,5.00
18.08.2022,191,885.50,4.62
19.08.2022,195,975.00,4.98
20.08.2022,129,692.00,5.30
22.08.2022,198,961.00,4.84
23.08.2022,204,1005.00,4.91
24.08.2022,178,879.50,4.93
25.08.2022,226,1083.00,4.77
26.08.2022,194,912.50,4.65
27.08.2022,100,500.00,4.96
29.08.2022,210,1091.00,5.15
30.08.2022,263,1290.50,4.87
31.08.2022,251,1242.00,4.92
01.09.2022,303,1464.50,4.75
02.09.2022,278,1299.00,4.66
03.09.2022,180,897.00,4.96
05.09.2022,317,1552.00,4.88
06.09.2022,291,1417.00,4.84
07.09.2022,281,1378.00,4.86
08.09.2022,302,1500.00,4.91
09.09.2022,300,1509.00,5.00
10.09.2022,165,852.00,5.14
12.09.2022,263,1191.00,4.50
13.09.2022,291,1512.50,5.16
14.09.2022,324,1571.50,4.81
15.09.2022,333,1588.50,4.73
16.09.2022,330,1637.50,4.92
17.09.2022,164,844.50,5.12
19.09.2022,297,1462.00,4.88
20.09.2022,313,1479.00,4.70
21.09.2022,318,1628.00,5.07
22.09.2022,283,1464.00,5.11
23.09.2022,287,1354.00,4.67
24.09.2022,221,1177.00,5.29
26.09.2022,322,1559.50,4.82
27.09.2022,299,1515.50,5.04
28.09.2022,280,1381.00,4.89
29.09.2022,241,1158.50,4.80
30.09.2022,323,1638.00,5.02
01.10.2022,164,856.50,5.20
03.10.2022,224,1134.00,5.02
04.10.2022,282,1447.00,5.09
05.10.2022,247,1260.00,5.07
06.10.2022,284,1440.50,5.06
07.10.2022,276,1350.50,4.86
08.10.2022,185,973.50,5.24
10.10.2022,328,1508.50,4.58
11.10.2022,307,1556.50,4.92
12.10.2022,300,1431.00,4.56
13.10.2022,276,1276.00,4.50
14.10.2022,269,1308.50,4.66
15.10.2022,194,1007.00,5.07
17.10.2022,271,1290.50,4.70
18.10.2022,265,1296.00,4.75
19.10.2022,378,2075.50,4.66
20.10.2022,269,1318.00,4.76
21.10.2022,315,1602.50,4.97
22.10.2022,225,1205.00,5.30
24.10.2022,273,1373.00,4.83
25.10.2022,272,1367.00,4.91
26.10.2022,297,1479.50,4.76
27.10.2022,261,1371.35,5.03
28.10.2022,264,1281.10,4.67
29.10.2022,165,944.00,5.58
30.10.2022,92,471.50,5.04
31.10.2022,278,1365.35,4.69
01.11.2022,265,1336.50,4.83
02.11.2022,239,1178.15,4.65
03.11.2022,249,1131.30,4.32
04.11.2022,255,1271.85,4.81
05.11.2022,210,1165.60,5.49
06.11.2022,76,427.80,5.60
07.11.2022,50,241.00,4.71
08.11.2022,268,1247.70,4.48
09.11.2022,263,1235.20,4.56
10.11.2022,244,1171.55,4.56
11.11.2022,289,1413.25,4.73
12.11.2022,165,928.55,5.47
13.11.2022,74,427.90,5.53
14.11.2022,272,1359.05,4.89
15.11.2022,249,1255.50,4.97
16.11.2022,258,1289.50,4.85
17.11.2022,296,1506.05,4.86
18.11.2022,291,1538.95,5.12
19.11.2022,201,1242.55,5.98
20.11.2022,55,296.50,5.23
21.11.2022,233,1147.75,4.81
22.11.2022,293,1456.05,4.74
23.11.2022,253,1316.30,4.99
24.11.2022,236,1220.15,4.93
25.11.2022,235,1308.90,5.35
26.11.2022,195,1086.65,5.37
27.11.2022,77,436.95,5.54
28.11.2022,247,1255.30,4.82
29.11.2022,223,1147.90,4.82
30.11.2022,241,1256.60,5.00
01.12.2022,226,1106.90,4.58
02.12.2022,243,1295.50,5.08
03.12.2022,157,892.50,5.58
04.12.2022,55,253.10,4.51
05.12.2022,254,1268.40,4.73
06.12.2022,209,1174.80,5.41
07.12.2022,208,1255.63,5.89
08.12.2022,241,1334.83,5.31
09.12.2022,239,1331.80,5.43
10.12.2022,160,979.03,5.88
11.12.2022,54,299.00,5.31
12.12.2022,220,1263.93,5.56
13.12.2022,179,982.42,5.24
14.12.2022,221,1187.07,5.04
15.12.2022,239,1286.37,5.06
16.12.2022,222,1290.86,5.38
17.12.2022,93,529.79,5.54
18.12.2022,65,383.34,5.64
19.12.2022,201,1160.89,5.38
20.12.2022,195,1125.36,5.56
21.12.2022,183,1033.08,5.45
22.12.2022,188,1054.98,5.29
23.12.2022,218,1271.76,5.66
24.12.2022,138,788.66,5.44
25.12.2022,55,371.68,6.58
26.12.2022,193,1000.07,4.77
27.12.2022,187,1035.12,5.32
28.12.2022,209,1127.50,5.15
29.12.2022,183,1066.49,5.54
30.12.2022,145,827.98,5.51
03.01.2023,128,685.58,5.11
04.01.2023,157,852.40,5.03
05.01.2023,155,830.59,5.10
06.01.2023,188,1098.21,5.56
08.01.2023,56,333.79,5.75
09.01.2023,176,982.25,5.40
10.01.2023,186,1024.03,5.29
11.01.2023,200,1059.86,5.10
12.01.2023,173,978.00,5.49
13.01.2023,193,1087.78,5.36
14.01.2023,127,696.48,5.35
15.01.2023,53,317.63,5.80
16.01.2023,195,1084.63,5.43
17.01.2023,207,1132.34,5.24
18.01.2023,195,1100.06,5.38
19.01.2023,190,1028.48,5.13
20.01.2023,207,1215.20,5.71
21.01.2023,113,711.76,6.15
22.01.2023,50,307.58,5.87
23.01.2023,190,1015.63,5.12
